9.21359e-06	2.86725e-05	0.000213074	3.07434e-07	1.30632e-05	1.25885e-05	1.42692e-05
9.7502e-06	2.92581e-05	0.000206484	3.65058e-07	1.48243e-05	1.20562e-05	1.21513e-05
9.57216e-06	2.84434e-05	0.000230746	3.37517e-07	1.7146e-05	1.2934e-05	1.33812e-05
9.20448e-06	2.66404e-05	0.000207579	3.21806e-07	1.53473e-05	1.23786e-05	1.24504e-05
8.55896e-06	2.55337e-05	0.00020314	3.08823e-07	1.32304e-05	1.17357e-05	1.31815e-05
9.73082e-06	2.58749e-05	0.000193182	2.9285e-07	1.26436e-05	1.0802e-05	1.09446e-05
1.29666e-05	3.19195e-05	0.00029966	4.71558e-07	1.52553e-05	1.51807e-05	1.41302e-05
1.38513e-05	4.08767e-05	0.000416823	8.49415e-07	2.50259e-05	2.29083e-05	2.13624e-05
1.19457e-05	3.22803e-05	0.000332809	6.02878e-07	2.07696e-05	2.17951e-05	2.05661e-05
1.14968e-05	3.22254e-05	0.000313936	5.13477e-07	1.73414e-05	1.81257e-05	1.75532e-05
